"Date", "Sunrise", "Sunset", "Daylength"
"2017-01-01", "09:12", "17:00", "07:48"
"2017-01-02", "09:12", "17:02", "07:50"
"2017-01-03", "09:12", "17:03", "07:51"
"2017-01-04", "09:11", "17:04", "07:52"
"2017-01-05", "09:11", "17:05", "07:54"
"2017-01-06", "09:11", "17:06", "07:56"
"2017-01-07", "09:10", "17:08", "07:57"
"2017-01-08", "09:10", "17:09", "07:59"
"2017-01-09", "09:09", "17:10", "08:01"
"2017-01-10", "09:09", "17:12", "08:03"
"2017-01-11", "09:08", "17:13", "08:05"
"2017-01-12", "09:07", "17:15", "08:08"
"2017-01-13", "09:06", "17:16", "08:10"
"2017-01-14", "09:06", "17:18", "08:12"
"2017-01-15", "09:05", "17:19", "08:15"
"2017-01-16", "09:04", "17:21", "08:17"
"2017-01-17", "09:03", "17:23", "08:20"
"2017-01-18", "09:02", "17:24", "08:22"
"2017-01-19", "09:01", "17:26", "08:25"
"2017-01-20", "09:00", "17:28", "08:28"
"2017-01-21", "08:59", "17:29", "08:31"
"2017-01-22", "08:57", "17:31", "08:34"
"2017-01-23", "08:56", "17:33", "08:37"
"2017-01-24", "08:55", "17:35", "08:40"
"2017-01-25", "08:54", "17:36", "08:43"
"2017-01-26", "08:52", "17:38", "08:46"
"2017-01-27", "08:51", "17:40", "08:49"
"2017-01-28", "08:49", "17:42", "08:52"
"2017-01-29", "08:48", "17:44", "08:56"
"2017-01-30", "08:46", "17:45", "08:59"
"2017-01-31", "08:45", "17:47", "09:02"
"2017-02-01", "08:43", "17:49", "09:06"
"2017-02-02", "08:42", "17:51", "09:09"
"2017-02-03", "08:40", "17:53", "09:13"
"2017-02-04", "08:38", "17:55", "09:16"
"2017-02-05", "08:37", "17:57", "09:20"
"2017-02-06", "08:35", "17:59", "09:24"
"2017-02-07", "08:33", "18:00", "09:27"
"2017-02-08", "08:31", "18:02", "09:31"
"2017-02-09", "08:29", "18:04", "09:35"
"2017-02-10", "08:28", "18:06", "09:38"
"2017-02-11", "08:26", "18:08", "09:42"
"2017-02-12", "08:24", "18:10", "09:46"
"2017-02-13", "08:22", "18:12", "09:50"
"2017-02-14", "08:20", "18:14", "09:54"
"2017-02-15", "08:18", "18:15", "09:57"
"2017-02-16", "08:16", "18:17", "10:01"
"2017-02-17", "08:14", "18:19", "10:05"
"2017-02-18", "08:12", "18:21", "10:09"
"2017-02-19", "08:10", "18:23", "10:13"
"2017-02-20", "08:08", "18:25", "10:17"
"2017-02-21", "08:06", "18:27", "10:21"
"2017-02-22", "08:04", "18:29", "10:25"
"2017-02-23", "08:02", "18:30", "10:29"
"2017-02-24", "07:59", "18:32", "10:33"
"2017-02-25", "07:57", "18:34", "10:37"
"2017-02-26", "07:55", "18:36", "10:41"
"2017-02-27", "07:53", "18:38", "10:45"
"2017-02-28", "07:51", "18:40", "10:49"
"2017-03-01", "07:49", "18:41", "10:53"
"2017-03-02", "07:46", "18:43", "10:57"
"2017-03-03", "07:44", "18:45", "11:01"
"2017-03-04", "07:42", "18:47", "11:05"
"2017-03-05", "07:40", "18:49", "11:09"
"2017-03-06", "07:37", "18:50", "11:13"
"2017-03-07", "07:35", "18:52", "11:17"
"2017-03-08", "07:33", "18:54", "11:21"
"2017-03-09", "07:31", "18:56", "11:25"
"2017-03-10", "07:28", "18:58", "11:29"
"2017-03-11", "07:26", "18:59", "11:33"
"2017-03-12", "07:24", "19:01", "11:38"
"2017-03-13", "07:21", "19:03", "11:42"
"2017-03-14", "07:19", "19:05", "11:46"
"2017-03-15", "07:17", "19:06", "11:50"
"2017-03-16", "07:14", "19:08", "11:54"
"2017-03-17", "07:12", "19:10", "11:58"
"2017-03-18", "07:10", "19:12", "12:02"
"2017-03-19", "07:07", "19:14", "12:06"
"2017-03-20", "07:05", "19:15", "12:10"
"2017-03-21", "07:03", "19:17", "12:14"
"2017-03-22", "07:00", "19:19", "12:18"
"2017-03-23", "06:58", "19:21", "12:22"
"2017-03-24", "06:56", "19:22", "12:27"
"2017-03-25", "06:53", "19:24", "12:31"
"2017-03-26", "07:51", "20:26", "12:35"
